id,year,name,date,position,game_id,posteam,ATT,COMP,FUM,HIT,INT,LONG,LST,PAT_Attempt,PAT_Made,PAT_percent,RATT,REC,RECTD,RECYDS,RTD,RYDS,SACK,TD,TGTS,YDS,attempt,long,longest,med,percent,short
00-0003292,2009,K.Collins,20090910,QB,2009091000,TEN,215.0,119.0,3.0,19.0,8.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,18.0,5.0,6.0,0.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0003292,2010,K.Collins,20100919,QB,2010091904,TEN,275.0,160.0,3.0,19.0,7.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,13.0,15.0,0.0,1825.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0003292,2011,K.Collins,20110911,QB,2011091102,IND,97.0,48.0,1.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0003315,2009,T.Collins,20091018,QB,2009101807,WAS,23.0,13.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0003315,2010,T.Collins,20101003,QB,2010100312,CHI,27.0,10.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0003739,2009,D.Culpepper,20091004,QB,2009100400,DET,155.0,89.0,2.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,92.0,14.0,3.0,0.0,945.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0004091,2009,P.Dawson,20090913,K,2009091304,CLE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,0.0,373.0,5.0,7.166666666666666,12.0
00-0004091,2010,P.Dawson,20100912,RB,2010091200,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,588.0,3.0,13.166666666666666,20.0
00-0004091,2011,P.Dawson,20110911,K,2011091101,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,618.0,7.0,12.966666666666667,10.0
00-0004091,2012,P.Dawson,20120909,K,2012090907,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,7.0,610.0,6.0,11.166666666666666,16.0
00-0004091,2013,P.Dawson,20130908,K,2013090811,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,709.0,10.0,12.416666666666666,18.0
