Year,Coach,G,W,L,T,W-L%,G,W,L,Result,Offense,Defense,Team
1965,Hugh Taylor,14,4,10,0,0.286,0,0,0,,,,Titans
1964,Sammy Baugh,14,4,10,0,0.286,0,0,0,,,,Titans
1963,Pop Ivy,14,6,8,0,0.429,0,0,0,,,,Titans
1962,Pop Ivy,14,11,3,0,0.786,1,0,1,Lost Champ,,,Titans
1961,Wally Lemm,9,9,0,0,1,1,1,0,Won Champ,,,Titans
,Lou Rymkus,5,1,3,1,0.25,0,0,0,Won Champ,,,Titans
1960,Lou Rymkus,14,10,4,0,0.714,1,1,0,Won Champ,,,Titans
2018,Doug Marrone,16,5,11,0,0.313,,,,,Nathaniel Hackett,Todd Wash,Jaguars
2017,Doug Marrone,16,10,6,0,0.625,3,2,1,Lost Conf,Nathaniel Hackett,Todd Wash,Jaguars
2016,Doug Marrone,2,1,1,0,0.5,,,,,"Nathaniel Hackett, Greg Olson",Todd Wash,Jaguars
,Gus Bradley,14,2,12,0,0.143,0,0,0,,"Nathaniel Hackett, Greg Olson",Todd Wash,Jaguars
2015,Gus Bradley,16,5,11,0,0.313,,,,,Greg Olson,Bob Babich,Jaguars
2014,Gus Bradley,16,3,13,0,0.188,0,0,0,,Jedd Fisch,Bob Babich,Jaguars
2013,Gus Bradley,16,4,12,0,0.25,0,0,0,,Jedd Fisch,Bob Babich,Jaguars
2012,Mike Mularkey,16,2,14,0,0.125,0,0,0,,Bob Bratkowski,Mel Tucker,Jaguars
2011,Mel Tucker,5,2,3,0,0.4,0,0,0,,Dirk Koetter,,Jaguars
,Jack Del Rio,11,3,8,0,0.273,0,0,0,,Dirk Koetter,Mel Tucker,Jaguars
2010,Jack Del Rio,16,8,8,0,0.5,0,0,0,,Dirk Koetter,Mel Tucker,Jaguars
2009,Jack Del Rio,16,7,9,0,0.438,0,0,0,,Dirk Koetter,Mel Tucker,Jaguars
2008,Jack Del Rio,16,5,11,0,0.313,0,0,0,,Dirk Koetter,Gregg Williams,Jaguars
2007,Jack Del Rio,16,11,5,0,0.688,2,1,1,Lost Div,Dirk Koetter,Mike Smith,Jaguars
2006,Jack Del Rio,16,8,8,0,0.5,0,0,0,,Carl Smith,Mike Smith,Jaguars
2005,Jack Del Rio,16,12,4,0,0.75,1,0,1,Lost WC,Carl Smith,Mike Smith,Jaguars
2004,Jack Del Rio,16,9,7,0,0.563,0,0,0,,Bill Musgrave,Mike Smith,Jaguars
2003,Jack Del Rio,16,5,11,0,0.313,0,0,0,,Bill Musgrave,Mike Smith,Jaguars
2002,Tom Coughlin,16,6,10,0,0.375,0,0,0,,,John Pease,Jaguars
2001,Tom Coughlin,16,6,10,0,0.375,0,0,0,,Bobby Petrino,Gary Moeller,Jaguars
2000,Tom Coughlin,16,7,9,0,0.438,0,0,0,,,Dom Capers,Jaguars
1999,Tom Coughlin,16,14,2,0,0.875,2,1,1,Lost Conf,,Dom Capers,Jaguars
1998,Tom Coughlin,16,11,5,0,0.688,2,1,1,Lost Div,Chris Palmer,Dick Jauron,Jaguars
1997,Tom Coughlin,16,11,5,0,0.688,1,0,1,Lost WC,Chris Palmer,Dick Jauron,Jaguars
1996,Tom Coughlin,16,9,7,0,0.563,3,2,1,Lost Conf,Kevin Gilbride,Dick Jauron,Jaguars
1995,Tom Coughlin,16,4,12,0,0.25,0,0,0,,Kevin Gilbride,Dick Jauron,Jaguars
2018,Frank Reich,16,10,6,0,0.625,2,1,1,Lost Div,Nick Sirianni,Matt Eberflus,Colts
2017,Chuck Pagano,16,4,12,0,0.25,,,,,Rob Chudzinski,Ted Monachino,Colts
2016,Chuck Pagano,16,8,8,0,0.5,,,,,Rob Chudzinski,Ted Monachino,Colts
2015,Chuck Pagano,16,8,8,0,0.5,,,,,"Rob Chudzinski, Pep Hamilton",Greg Manusky,Colts
2014,Chuck Pagano,16,11,5,0,0.688,3,2,1,Lost Conf,Pep Hamilton,Greg Manusky,Colts
2013,Chuck Pagano,16,11,5,0,0.688,2,1,1,Lost Div,Pep Hamilton,Greg Manusky,Colts
2012,Chuck Pagano,16,11,5,0,0.688,1,0,1,Lost WC,Bruce Arians,Greg Manusky,Colts
2011,Jim Caldwell,16,2,14,0,0.125,0,0,0,,Clyde Christensen,Larry Coyer,Colts
2010,Jim Caldwell,16,10,6,0,0.625,1,0,1,Lost WC,Clyde Christensen,Larry Coyer,Colts
2009,Jim Caldwell,16,14,2,0,0.875,3,2,1,Lost SB,Tom Moore,Larry Coyer,Colts
2008,Tony Dungy,16,12,4,0,0.75,1,0,1,Lost WC,Tom Moore,Ron Meeks,Colts
2007,Tony Dungy,16,13,3,0,0.813,1,0,1,Lost Div,Tom Moore,Ron Meeks,Colts
2006,Tony Dungy,16,12,4,0,0.75,4,4,0,Won SB,Tom Moore,Ron Meeks,Colts
2005,Tony Dungy,16,14,2,0,0.875,1,0,1,Lost Div,Tom Moore,Ron Meeks,Colts
2004,Tony Dungy,16,12,4,0,0.75,2,1,1,Lost Div,Tom Moore,Ron Meeks,Colts
2003,Tony Dungy,16,12,4,0,0.75,3,2,1,Lost Conf,Tom Moore,Ron Meeks,Colts
2002,Tony Dungy,16,10,6,0,0.625,1,0,1,Lost WC,Tom Moore,Ron Meeks,Colts
2001,Jim Mora,16,6,10,0,0.375,0,0,0,,Tom Moore,Vic Fangio,Colts
2000,Jim Mora,16,10,6,0,0.625,1,0,1,Lost WC,Tom Moore,Vic Fangio,Colts
1999,Jim Mora,16,13,3,0,0.813,1,0,1,Lost Div,Tom Moore,Vic Fangio,Colts
1998,Jim Mora,16,3,13,0,0.188,0,0,0,,Tom Moore,Rusty Tillman,Colts
1997,Lindy Infante,16,3,13,0,0.188,0,0,0,,,Jim Johnson,Colts
1996,Lindy Infante,16,9,7,0,0.563,1,0,1,Lost WC,,Jim Johnson,Colts
1995,Ted Marchibroda,16,9,7,0,0.563,3,2,1,Lost Conf,Lindy Infante,Jim Johnson,Colts
1994,Ted Marchibroda,16,8,8,0,0.5,0,0,0,,Nick Nicolau,Jim Johnson,Colts
1993,Ted Marchibroda,16,4,12,0,0.25,0,0,0,,Nick Nicolau,Rick Venturi,Colts
1992,Ted Marchibroda,16,9,7,0,0.563,0,0,0,,Nick Nicolau,Rick Venturi,Colts
1991,Rick Venturi,11,1,10,0,0.091,0,0,0,,"Leon Burtnett, Milt Jackson",,Colts
,Ron Meyer,5,0,5,0,0,0,0,0,,"Leon Burtnett, Milt Jackson",Rick Venturi,Colts
1990,Ron Meyer,16,7,9,0,0.438,0,0,0,,Larry Kennan,Bill Muir,Colts
1989,Ron Meyer,16,8,8,0,0.5,0,0,0,,Larry Kennan,Bill Muir,Colts
1988,Ron Meyer,16,9,7,0,0.563,0,0,0,,John Becker,George Hill,Colts
1987,Ron Meyer,15,9,6,0,0.6,1,0,1,Lost Div,John Becker,George Hill,Colts
1986,Rod Dowhower,13,0,13,0,0,0,0,0,,Billie Matthews,George Hill,Colts
,Ron Meyer,3,3,0,0,1,0,0,0,,Billie Matthews,George Hill,Colts
1985,Rod Dowhower,16,5,11,0,0.313,0,0,0,,Billie Matthews,George Hill,Colts
1984,Frank Kush,15,4,11,0,0.267,0,0,0,,Zeke Bratkowski,Rick Venturi,Colts
,Hal Hunter,1,0,1,0,0,0,0,0,,Zeke Bratkowski,Rick Venturi,Colts
1983,Frank Kush,16,7,9,0,0.438,0,0,0,,Zeke Bratkowski,,Colts
1982,Frank Kush,9,0,8,1,0.056,0,0,0,,Zeke Bratkowski,Bud Carson,Colts
1981,Mike McCormack,16,2,14,0,0.125,0,0,0,,,Chuck Weber,Colts
1980,Mike McCormack,16,7,9,0,0.438,0,0,0,,,Chuck Weber,Colts
1979,Ted Marchibroda,16,5,11,0,0.313,0,0,0,,,Maxie Baughan,Colts
1978,Ted Marchibroda,16,5,11,0,0.313,0,0,0,,,Maxie Baughan,Colts
1977,Ted Marchibroda,14,10,4,0,0.714,1,0,1,Lost Div,,Maxie Baughan,Colts
1976,Ted Marchibroda,14,11,3,0,0.786,1,0,1,Lost Div,,Maxie Baughan,Colts
1975,Ted Marchibroda,14,10,4,0,0.714,1,0,1,Lost Div,,Maxie Baughan,Colts
1974,Howard Schnellenberger,3,0,3,0,0,0,0,0,,,,Colts
,Joe Thomas,11,2,9,0,0.182,0,0,0,,,,Colts
1973,Howard Schnellenberger,14,4,10,0,0.286,0,0,0,,,,Colts
1972,Don McCafferty,5,1,4,0,0.2,0,0,0,,,,Colts
,John Sandusky,9,4,5,0,0.444,0,0,0,,,,Colts
1971,Don McCafferty,14,10,4,0,0.714,2,1,1,Lost Conf,,,Colts
1970,Don McCafferty,14,11,2,1,0.846,3,3,0,Won SB,,,Colts
1969,Don Shula,14,8,5,1,0.615,0,0,0,,,,Colts
1968,Don Shula,14,13,1,0,0.929,3,2,1,Lost SB,,,Colts
1967,Don Shula,14,11,1,2,0.917,0,0,0,,,,Colts
1966,Don Shula,14,9,5,0,0.643,0,0,0,,,,Colts
1965,Don Shula,14,10,3,1,0.769,1,0,1,Lost Div,,,Colts
1964,Don Shula,14,12,2,0,0.857,1,0,1,Lost Champ,,,Colts
1963,Don Shula,14,8,6,0,0.571,0,0,0,,,,Colts
1962,Weeb Ewbank,14,7,7,0,0.5,0,0,0,,,,Colts
1961,Weeb Ewbank,14,8,6,0,0.571,0,0,0,,,,Colts
1960,Weeb Ewbank,12,6,6,0,0.5,0,0,0,,,,Colts
1959,Weeb Ewbank,12,9,3,0,0.75,1,1,0,Won Champ,,,Colts
1958,Weeb Ewbank,12,9,3,0,0.75,1,1,0,Won Champ,,,Colts
1957,Weeb Ewbank,12,7,5,0,0.583,0,0,0,,,,Colts
1956,Weeb Ewbank,12,5,7,0,0.417,0,0,0,,,,Colts
1955,Weeb Ewbank,12,5,6,1,0.455,0,0,0,,,,Colts
1954,Weeb Ewbank,12,3,9,0,0.25,0,0,0,,,,Colts
1953,Keith Molesworth,12,3,9,0,0.25,0,0,0,,,,Colts
2018,Bill O'Brien,16,11,5,0,0.688,1,0,1,Lost WC,,Romeo Crennel,Texans
2017,Bill O'Brien,16,4,12,0,0.25,,,,,,Mike Vrabel,Texans
2016,Bill O'Brien,16,9,7,0,0.563,2,1,1,Lost Div,George Godsey,Romeo Crennel,Texans
2015,Bill O'Brien,16,9,7,0,0.563,1,0,1,Lost WC,George Godsey,Romeo Crennel,Texans
2014,Bill O'Brien,16,9,7,0,0.563,0,0,0,,,Romeo Crennel,Texans
2013,Wade Phillips,3,0,3,0,0,0,0,0,,Rick Dennison,,Texans
,Gary Kubiak,13,2,11,0,0.154,0,0,0,,Rick Dennison,Wade Phillips,Texans
2012,Gary Kubiak,16,12,4,0,0.75,2,1,1,Lost Div,Rick Dennison,Wade Phillips,Texans
2011,Gary Kubiak,16,10,6,0,0.625,2,1,1,Lost Div,Rick Dennison,Wade Phillips,Texans
2010,Gary Kubiak,16,6,10,0,0.375,0,0,0,,Rick Dennison,Frank Bush,Texans
2009,Gary Kubiak,16,9,7,0,0.563,0,0,0,,Kyle Shanahan,Frank Bush,Texans
2008,Gary Kubiak,16,8,8,0,0.5,0,0,0,,Kyle Shanahan,Richard Smith,Texans
2007,Gary Kubiak,16,8,8,0,0.5,0,0,0,,Mike Sherman,Richard Smith,Texans
2006,Gary Kubiak,16,6,10,0,0.375,0,0,0,,Troy Calhoun,Richard Smith,Texans
2005,Dom Capers,16,2,14,0,0.125,0,0,0,,"Chris Palmer, Joe Pendry",Vic Fangio,Texans
2004,Dom Capers,16,7,9,0,0.438,0,0,0,,Chris Palmer,Vic Fangio,Texans
2003,Dom Capers,16,5,11,0,0.313,0,0,0,,Chris Palmer,Vic Fangio,Texans
2002,Dom Capers,16,4,12,0,0.25,0,0,0,,Chris Palmer,Vic Fangio,Texans
