Year,Coach,G,W,L,T,W-L%,G,W,L,Result,Offense,Defense,Team
,Lane Kiffin,4,1,3,0,0.25,0,0,0,,Greg Knapp,Rob Ryan,Raiders
2007,Lane Kiffin,16,4,12,0,0.25,0,0,0,,Greg Knapp,Rob Ryan,Raiders
2006,Art Shell,16,2,14,0,0.125,0,0,0,,"John Shoop, Tom Walsh",Rob Ryan,Raiders
2005,Norv Turner,16,4,12,0,0.25,0,0,0,,Jimmy Raye,Rob Ryan,Raiders
2004,Norv Turner,16,5,11,0,0.313,0,0,0,,Jimmy Raye,Rob Ryan,Raiders
2003,Bill Callahan,16,4,12,0,0.25,0,0,0,,Marc Trestman,Chuck Bresnahan,Raiders
2002,Bill Callahan,16,11,5,0,0.688,3,2,1,Lost SB,Marc Trestman,Chuck Bresnahan,Raiders
2001,Jon Gruden,16,10,6,0,0.625,2,1,1,Lost Div,Bill Callahan,Chuck Bresnahan,Raiders
2000,Jon Gruden,16,12,4,0,0.75,2,1,1,Lost Conf,Bill Callahan,Chuck Bresnahan,Raiders
1999,Jon Gruden,16,8,8,0,0.5,0,0,0,,Bill Callahan,Willie Shaw,Raiders
1998,Jon Gruden,16,8,8,0,0.5,0,0,0,,Bill Callahan,Willie Shaw,Raiders
1997,Joe Bugel,16,4,12,0,0.25,0,0,0,,Ray Perkins,Freeman White,Raiders
1996,Mike White,16,7,9,0,0.438,0,0,0,,Joe Bugel,Freeman White,Raiders
1995,Mike White,16,8,8,0,0.5,0,0,0,,Joe Bugel,John Fox,Raiders
1994,Art Shell,16,9,7,0,0.563,0,0,0,,Tom Walsh,John Fox,Raiders
1993,Art Shell,16,10,6,0,0.625,2,1,1,Lost Div,Tom Walsh,Gunther Cunningham,Raiders
1992,Art Shell,16,7,9,0,0.438,0,0,0,,"Terry Robiskie, Tom Walsh",Gunther Cunningham,Raiders
1991,Art Shell,16,9,7,0,0.563,1,0,1,Lost WC,Terry Robiskie,Dave Adolph,Raiders
1990,Art Shell,16,12,4,0,0.75,2,1,1,Lost Conf,Terry Robiskie,Dave Adolph,Raiders
1989,Art Shell,12,7,5,0,0.583,0,0,0,,"Terry Robiskie, Tom Walsh",Dave Adolph,Raiders
,Mike Shanahan,4,1,3,0,0.25,0,0,0,,"Terry Robiskie, Tom Walsh",Dave Adolph,Raiders
1988,Mike Shanahan,16,7,9,0,0.438,0,0,0,,,Charlie Sumner,Raiders
1987,Tom Flores,15,5,10,0,0.333,0,0,0,,,Charlie Sumner,Raiders
1986,Tom Flores,16,8,8,0,0.5,0,0,0,,,,Raiders
1985,Tom Flores,16,12,4,0,0.75,1,0,1,Lost Div,,,Raiders
1984,Tom Flores,16,11,5,0,0.688,1,0,1,Lost WC,,,Raiders
1983,Tom Flores,16,12,4,0,0.75,3,3,0,Won SB,,,Raiders
1982,Tom Flores,9,8,1,0,0.889,2,1,1,Lost Div,,,Raiders
1981,Tom Flores,16,7,9,0,0.438,0,0,0,,,,Raiders
1980,Tom Flores,16,11,5,0,0.688,4,4,0,Won SB,,,Raiders
1979,Tom Flores,16,9,7,0,0.563,0,0,0,,,,Raiders
1978,John Madden,16,9,7,0,0.563,0,0,0,,,,Raiders
1977,John Madden,14,11,3,0,0.786,2,1,1,Lost Conf,,,Raiders
1976,John Madden,14,13,1,0,0.929,3,3,0,Won SB,,,Raiders
1975,John Madden,14,11,3,0,0.786,2,1,1,Lost Conf,,,Raiders
1974,John Madden,14,12,2,0,0.857,2,1,1,Lost Conf,,,Raiders
1973,John Madden,14,9,4,1,0.679,2,1,1,Lost Conf,,,Raiders
1972,John Madden,14,10,3,1,0.75,1,0,1,Lost Div,,,Raiders
1971,John Madden,14,8,4,2,0.667,0,0,0,,,,Raiders
1970,John Madden,14,8,4,2,0.667,2,1,1,Lost Conf,,,Raiders
1969,John Madden,14,12,1,1,0.923,2,1,1,Lost Conf,,,Raiders
1968,John Rauch,14,12,2,0,0.857,2,1,1,Lost Conf,,,Raiders
1967,John Rauch,14,13,1,0,0.929,2,1,1,Lost SB,,,Raiders
1966,John Rauch,14,8,5,1,0.615,0,0,0,,,,Raiders
1965,Al Davis,14,8,5,1,0.615,0,0,0,,,,Raiders
1964,Al Davis,14,5,7,2,0.417,0,0,0,,,,Raiders
1963,Al Davis,14,10,4,0,0.714,0,0,0,,,,Raiders
1962,Marty Feldman,5,0,5,0,0,0,0,0,,,,Raiders
,Bill Conkright,9,1,8,0,0.111,0,0,0,,,,Raiders
1961,Eddie Erdelatz,2,0,2,0,0,0,0,0,,,,Raiders
,Marty Feldman,12,2,10,0,0.167,0,0,0,,,,Raiders
1960,Eddie Erdelatz,14,6,8,0,0.429,0,0,0,,,,Raiders
2018,Anthony Lynn,16,12,4,0,0.75,2,1,1,Lost Div,Ken Whisenhunt,Gus Bradley,Chragers
2017,Anthony Lynn,16,9,7,0,0.563,,,,,Ken Whisenhunt,Gus Bradley,Chragers
2016,Mike McCoy,16,5,11,0,0.313,,,,,Ken Whisenhunt,John Pagano,Chragers
2015,Mike McCoy,16,4,12,0,0.25,,,,,Frank Reich,John Pagano,Chragers
2014,Mike McCoy,16,9,7,0,0.563,0,0,0,,Frank Reich,John Pagano,Chragers
2013,Mike McCoy,16,9,7,0,0.563,2,1,1,Lost Div,Ken Whisenhunt,John Pagano,Chragers
2012,Norv Turner,16,7,9,0,0.438,0,0,0,,Hal Hunter,John Pagano,Chragers
2011,Norv Turner,16,8,8,0,0.5,0,0,0,,Clarence Shelmon,Greg Manusky,Chragers
2010,Norv Turner,16,9,7,0,0.563,0,0,0,,Clarence Shelmon,Ron Rivera,Chragers
2009,Norv Turner,16,13,3,0,0.813,1,0,1,Lost Div,Clarence Shelmon,Ron Rivera,Chragers
2008,Norv Turner,16,8,8,0,0.5,2,1,1,Lost Div,Clarence Shelmon,"Ted Cottrell, Ron Rivera",Chragers
2007,Norv Turner,16,11,5,0,0.688,3,2,1,Lost Conf,Clarence Shelmon,Ted Cottrell,Chragers
2006,Marty Schottenheimer,16,14,2,0,0.875,1,0,1,Lost Div,Cam Cameron,Wade Phillips,Chragers
2005,Marty Schottenheimer,16,9,7,0,0.563,0,0,0,,Cam Cameron,Wade Phillips,Chragers
