Coach,Defense,Offense,Team,Week,Year
Bill O'Brien,Mike Vrabel,,Texans,17,2017
Bill O'Brien,Romeo Crennel,,Texans,1,2018
Bill O'Brien,Romeo Crennel,,Texans,2,2018
Bill O'Brien,Romeo Crennel,,Texans,3,2018
Bill O'Brien,Romeo Crennel,,Texans,4,2018
Bill O'Brien,Romeo Crennel,,Texans,5,2018
Bill O'Brien,Romeo Crennel,,Texans,6,2018
Bill O'Brien,Romeo Crennel,,Texans,7,2018
Bill O'Brien,Romeo Crennel,,Texans,8,2018
Bill O'Brien,Romeo Crennel,,Texans,9,2018
Bill O'Brien,Romeo Crennel,,Texans,10,2018
Bill O'Brien,Romeo Crennel,,Texans,11,2018
Bill O'Brien,Romeo Crennel,,Texans,12,2018
Bill O'Brien,Romeo Crennel,,Texans,13,2018
Bill O'Brien,Romeo Crennel,,Texans,14,2018
Bill O'Brien,Romeo Crennel,,Texans,15,2018
Bill O'Brien,Romeo Crennel,,Texans,16,2018
Bill O'Brien,Romeo Crennel,,Texans,17,2018
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,1,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,2,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,3,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,4,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,5,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,6,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,7,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,8,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,9,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,10,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,11,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,12,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,13,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,14,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,15,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,16,2012
Chuck Pagano,Greg Manusky,Bruce Arians,Colts,17,2012
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,1,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,2,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,3,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,4,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,5,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,6,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,7,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,8,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,9,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,10,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,11,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,12,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,13,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,14,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,15,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,16,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,17,2013
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,1,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,2,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,3,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,4,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,5,2014
